Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Payment Method,Discount Amount,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
Africa,Kenya,Nakuru,Jacks Hardware,4,Asus,ROG Strix Scar III,HDD,Erin,Williams,+12879206275,adrianjohnson@example.com,Kenneth Moore,New Sales,19361,21367,Bank Transfer,380,2022-01-22,2022-02-06,0,2GB,740,Online,High,0,977,19877,500GB
Africa,Tanzania,Pemba Kusini,Frankies Hardware and Software,6,Apple,Apple PowerBook G4,SSD,Christopher,Long,+18384700689,sandovalrussell@example.org,Alicia Evans,New Sales,17109,20011,Cash,699,2022-10-07,2022-10-26,0,16GB,778,Online,High,0,306,19402,256GB
North America,Florida,Hialeah,Ricks Computers,2,Microsoft,Surface Book,SSD,Elizabeth,Becker,+18263314982,vmitchell@example.com,Alexis Murray,Second-hand Sales,20756,22946,Bank Transfer,179,2022-06-19,2022-07-08,0,4GB,518,Online,Medium,0,321,22856,500GB
North America,California,Irvine,KyaSand Tech Gadgets,10,Samsung,Notebook Odyssey,HDD,Pamela,Mcneil,+16557743937,petersontammy@example.com,Larry Smith,Second-hand Sales,10910,14333,Finance,729,2021-06-16,,17276,2GB,544,Offline,Medium,0,101,12247,500GB
Africa,Morocco,Ouezzane,LJ Computers,4,Dell,Precision,SSD,Grant,Robertson,,melissawood@example.net,Gina Day,Second-hand Sales,15191,18781,Bank Transfer,84,2023-04-17,,0,4GB,740,Offline,High,0,825,18164,256GB
Africa,South Africa,Gauteng,Greens Laptops and PCs,9,Asus,ZenBook Flip S UX371,SSD,Lisa,Kaiser,+12986567674,meganwolfe@example.net,Mary Nelson,Returns,6794,10781,Finance,688,2021-06-01,,37658,4GB,428,Offline,High,0,143,10101,500GB
North America,Illinois,Orland Park,ABC Computers,8,Lenovo,ThinkPad T14,HDD,Jennifer,Roach,+10802763367,joshualawrence@example.net,Glenda Cohen,Repairs,25958,29343,Cash,121,2021-11-08,2021-12-07,0,16GB,657,Online,High,2046,434,27024,500GB
Africa,Nigeria,Ondo,Ricks Computers,10,HP,Spectre,HDD,Lisa,Lynn,+16527838113,grace35@example.org,Mary Shaw,New Sales,16949,19423,Finance,51,2021-12-16,,18995,4GB,817,Offline,Low,0,733,18827,500GB
North America,Illinois,Berwyn,GH PC Shop,6,Asus,VivoBook S14,HDD,Patricia,Roberts,+16747370858,ryanchristopher@example.org,Daniel Serrano,Repairs,28751,30808,Finance,618,2022-07-11,2022-07-13,11175,4GB,761,Online,Medium,4951,247,29698,256GB
Africa,Kenya,Tharaka-Nithi,DEF Machines,3,Apple,Apple Macintosh Classic,HDD,Kimberly,Peters,+11007037041,pennycobb@example.net,Cassandra Mcmillan,Repairs,15261,19210,Bank Transfer,971,2023-01-01,2023-01-05,0,2GB,785,Online,Medium,1815,736,17590,256GB
Africa,Botswana,Ghanzi,Greens Laptops and PCs,9,Lenovo,ThinkCentre M920 Tiny,SSD,Angela,Brown,+15664260077,wellsangela@example.org,Sarah Riley,Repairs,17334,22130,Bank Transfer,297,2023-02-01,2023-02-22,0,4GB,689,Online,Low,4934,130,21342,256GB
Africa,Ghana,Northern,Ricks Computers,2,Asus,VivoBook S14,HDD,Brooke,Jones,+18325926431,gina83@example.net,Troy Howell,New Sales,21520,26144,Bank Transfer,631,2023-10-27,2023-11-20,0,16GB,815,Online,Low,0,370,24367,256GB
North America,Illinois,Waukegan,ABC Computers,5,Asus,ExpertBook B9,SSD,Nichole,May,+15947188830,johnsonjeffrey@example.org,Ashley Jones,Second-hand Sales,11127,15831,Finance,20,2021-05-10,2021-05-16,18443,8GB,522,Online,Medium,0,432,13309,1TB
Africa,Kenya,Kitui,ABC Computers,3,MSI,Alpha 15,HDD,Nicholas,Alexander,+15553397850,anthony38@example.net,Kenneth Moore,Returns,13849,16865,Cash,938,2023-10-01,,0,4GB,516,Offline,Low,0,969,16161,1TB
North America,California,Fresno,CK Tech Store,10,Toshiba,Dynabook,SSD,Matthew,Smith,+17182073394,john84@example.com,Joe Black,Returns,24130,27031,Cash,909,2023-10-19,2023-11-08,0,2GB,497,Online,Low,0,668,26663,256GB
North America,North Carolina,Gastonia,Benjis Tech,9,Acer,Chromebook Spin 311,HDD,Madeline,Armstrong,+18707103196,michael26@example.net,Craig Wheeler,New Sales,19746,23575,Finance,141,2021-06-01,,34519,2GB,431,Offline,Medium,0,546,21275,500GB
North America,North Carolina,Salisbury,Greens Laptops and PCs,4,Microsoft,Surface Pro,HDD,Carolyn,Carter,+17144030106,gking@example.org,Brittany Franklin,New Sales,25966,30237,Finance,78,2023-11-18,,5254,2GB,809,Offline,Medium,0,153,28403,1TB
Africa,Angola,Namibe,GH PC Shop,7,Samsung,Galaxy Chromebook 2,HDD,Michael,Espinoza,+17106609566,wagnerjimmy@example.net,Hector Robertson,Returns,25099,28049,Finance,978,2022-07-04,,25441,4GB,572,Offline,Low,0,191,25475,500GB
North America,North Carolina,Concord,Jacks Hardware,2,Asus,ROG Zephyrus S GX701,HDD,Patrick,Green,+15189869136,peckanthony@example.org,Brady Walton,Second-hand Sales,18280,22734,Finance,949,2024-03-03,2024-03-10,12154,4GB,548,Online,Medium,0,26,21566,500GB
North America,Illinois,Arlington Heights,Jacks Hardware,4,Acer,Aspire E 15,HDD,Amber,Goodwin,+14302863788,wrightpatrick@example.net,Kathleen Robinson,Second-hand Sales,12228,14807,Bank Transfer,718,2024-02-03,,0,16GB,613,Offline,High,0,436,12942,256GB
Africa,Ghana,Central,ABC Computers,5,Samsung,Notebook 9,SSD,Timothy,Brown,+17731823791,jillsampson@example.com,Jonathan Miller,New Sales,21440,25392,Finance,39,2023-03-07,2023-03-21,49235,4GB,628,Online,High,0,520,23006,256GB
North America,California,San Bernardino,GH PC Shop,1,Lenovo,ThinkPad P15s,SSD,Charles,Davis,+15664108863,rebeccaadams@example.com,Sean Rodriguez,New Sales,11092,14853,Finance,973,2023-06-02,2023-06-09,23344,4GB,784,Online,Medium,0,676,13664,1TB
North America,Illinois,Arlington Heights,KyaSand Tech Gadgets,2,MSI,GP65 Leopard,HDD,Amy,Gomez,+10682140596,connerkeith@example.com,Amanda Mitchell,New Sales,27622,32021,Cash,886,2023-07-21,,0,2GB,651,Offline,Medium,0,162,28996,1TB
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples Region (SNNPR)",LJ Computers,7,Toshiba,Dynabook,HDD,Steven,Pham,+14591911321,sullivanjames@example.org,Michael Summers,Second-hand Sales,11821,15554,Finance,168,2022-01-08,2022-01-27,37332,2GB,516,Online,High,0,823,13995,500GB
Africa,Botswana,Kweneng,A & A PCs,7,HP,Stream,HDD,Beth,Russell,+17573415077,gvaughn@example.org,Michael Byrd,New Sales,13832,16760,Cash,324,2021-08-08,,0,2GB,689,Offline,Medium,0,488,15241,1TB
Africa,South Africa,Northern Cape,ABC Computers,6,Microsoft,Surface Book,HDD,Courtney,Johnson,+18081860221,dianafischer@example.org,Carol Smith,Repairs,13214,16078,Bank Transfer,850,2023-08-08,,0,16GB,667,Offline,High,1140,817,13588,256GB
Africa,Ghana,Western,XYZ Tech,3,Dell,Venue,SSD,Matthew,Thomas,+14078566803,jcooper@example.org,Amanda Hurley,New Sales,20746,24938,Cash,298,2023-08-17,,0,16GB,741,Offline,Low,0,669,21980,256GB
Africa,Morocco,Guelmim,XYZ Tech,10,Toshiba,Satellite,SSD,Aaron,Spencer,+11071069029,stacey97@example.org,Kelly Mitchell,Repairs,8839,13271,Bank Transfer,704,2022-04-06,,0,8GB,568,Offline,Low,3891,317,12164,1TB
North America,New York,Mount Vernon,ABC Computers,7,Acer,ConceptD 5,HDD,Steven,Alexander,+19151475305,zadams@example.net,Kelsey Olson,Repairs,20990,25255,Bank Transfer,411,2023-01-01,2023-01-31,0,2GB,451,Online,Low,4717,123,25220,1TB
Africa,Ghana,Volta,A & A PCs,8,MSI,P65 Creator,SSD,Cameron,Jones,,phillip03@example.net,Kevin Lee,Second-hand Sales,22176,26293,Bank Transfer,234,2023-10-17,,0,2GB,520,Offline,Low,0,47,25546,256GB
Africa,Kenya,Makueni,S & A Computer Place,10,Acer,Spin 5,SSD,Ralph,Rodriguez,+19073696538,joseroth@example.net,Christopher Santos,New Sales,20865,24690,Finance,915,2021-12-12,2022-01-04,10464,4GB,671,Online,Medium,0,694,23277,1TB
North America,New York,Binghamton,CK Tech Store,3,Dell,G Series,HDD,Renee,Cooper,+11923433369,gdavis@example.net,Natalie Jimenez,New Sales,16136,18675,Cash,859,2023-02-22,2023-03-17,0,8GB,725,Online,Medium,0,613,18288,256GB
Africa,Angola,Cuando Cubango,CK Tech Store,9,Apple,Apple iMac,SSD,Nicole,Payne,+14131987204,earl63@example.org,Hector Robertson,Returns,11762,15876,Cash,923,2023-12-18,2024-01-12,0,2GB,509,Online,Medium,0,825,12605,500GB
North America,California,San Jose,XYZ Tech,3,Apple,Apple Mac Pro,SSD,Christopher,Daniels,+16431048462,mellis@example.net,Sean Rodriguez,Second-hand Sales,7121,10387,Bank Transfer,394,2022-06-28,2022-07-24,0,2GB,621,Online,Medium,0,772,8390,256GB
North America,Pennsylvania,Lebanon,Mini Tech,8,Microsoft,Surface Laptop,HDD,Wanda,Cook,+10022253366,robertbarnes@example.com,Julia Dodson,Returns,3601,6262,Finance,997,2021-06-06,2021-06-18,29919,2GB,465,Online,High,0,971,5977,256GB
North America,California,San Jose,DEF Machines,4,Dell,Vostro,SSD,Dylan,Henry,+14014144447,bailey23@example.com,Andrew Miranda,Returns,22149,26540,Cash,733,2021-10-26,,0,8GB,645,Offline,Low,0,324,24313,500GB
North America,Georgia,Macon,Frankies Hardware and Software,7,Acer,Predator Helios 300,SSD,Debra,Bryant,+19876880384,maryhumphrey@example.net,Rebecca Brown,New Sales,23823,28231,Bank Transfer,779,2023-04-26,,0,16GB,609,Offline,Low,0,413,27083,256GB
Africa,Egypt,Matrouh,LJ Computers,1,Lenovo,ThinkPad X13 Yoga,HDD,Rita,Chapman,+17051747371,hammondjulie@example.org,Michael Gibson,New Sales,12847,14930,Finance,705,2023-09-28,,46356,4GB,761,Offline,Medium,0,759,14149,500GB
North America,Florida,Davie,GH PC Shop,3,HP,Stream,HDD,Willie,Reeves,,marysmith@example.org,William Macdonald,Returns,20012,23066,Cash,415,2021-07-08,2021-07-15,0,16GB,498,Online,Low,0,174,20606,500GB
North America,New York,Syracuse,Frankies Hardware and Software,8,Asus,ROG Strix Scar III,HDD,Mason,Santiago,+18861587356,macdonaldmary@example.net,Kelsey Olson,Returns,3913,8584,Bank Transfer,316,2023-04-11,2023-04-30,0,8GB,652,Online,Medium,0,98,6082,1TB
North America,Florida,West Palm Beach,A & A PCs,2,HP,Envy,HDD,Scott,Thompson,+16610628359,vrogers@example.org,Deborah Anderson MD,Second-hand Sales,24371,27551,Cash,15,2023-12-17,2023-12-24,0,2GB,821,Online,Low,0,252,26459,256GB
Africa,Tanzania,Tabora,Western International PCs,6,Microsoft,Surface Hub,HDD,Tommy,Thompson,+12080224444,jamesdaniel@example.org,Corey Rasmussen,New Sales,26475,29974,Cash,906,2022-02-10,2022-02-25,0,2GB,757,Online,High,0,914,28915,1TB
North America,California,Modesto,Benjis Tech,3,Toshiba,Portege,HDD,Ashley,Conrad,+13532699299,hfreeman@example.net,Larry Smith,Returns,14781,18883,Bank Transfer,841,2023-10-16,2023-10-20,0,4GB,699,Online,High,0,429,18622,1TB
Africa,Nigeria,Adamawa,XYZ Tech,7,Acer,Aspire E 15,SSD,Luis,Guerrero,+17635998783,evansbrenda@example.org,Timothy Leach,Repairs,12197,15158,Finance,770,2023-08-30,2023-09-29,7222,2GB,453,Online,Medium,2268,142,15079,256GB
Africa,Kenya,Taita-Taveta,ABC Computers,2,Dell,Alienware,HDD,Bradley,Mccall,,jeffmurphy@example.org,Cassandra Mcmillan,Second-hand Sales,20189,22913,Bank Transfer,910,2022-01-15,2022-02-02,0,8GB,765,Online,High,0,755,21466,1TB
North America,North Carolina,Charlotte,S & A Computer Place,7,HP,Spectre,HDD,Jeffrey,Martinez,+12324975709,uallen@example.net,Robert Wood,Repairs,25555,30055,Bank Transfer,887,2021-08-23,2021-08-25,0,16GB,555,Online,Low,3741,173,25609,1TB
Africa,South Africa,Mpumalanga,Jacks Hardware,5,HP,Elitebook,SSD,Michael,Murray,+16724634891,lbrown@example.org,Mrs. Barbara Davenport,Second-hand Sales,16881,20979,Finance,668,2024-01-09,2024-01-12,14012,16GB,503,Online,High,0,791,18146,1TB
Africa,Kenya,Migori,GH PC Shop,8,Acer,Predator Helios 300,SSD,Lisa,Stephens,+15906128328,mortiz@example.net,Jeffrey Cook,New Sales,23040,26135,Bank Transfer,696,2021-03-16,,0,2GB,727,Offline,High,0,702,24992,1TB
North America,Florida,Tallahassee,GH PC Shop,9,Toshiba,Libretto,HDD,Grant,Day,+19928243817,pcontreras@example.org,Raymond Larson,New Sales,14469,17833,Cash,331,2023-01-15,,0,2GB,505,Offline,High,0,130,17629,500GB
Africa,Botswana,North-East,Frankies Hardware and Software,4,Apple,Apple Lisa,HDD,Kenneth,White,+10216747422,candacegibson@example.com,Lisa Williams,Second-hand Sales,28966,32610,Finance,40,2023-11-08,2023-12-05,27288,4GB,582,Online,High,0,86,29256,256GB
North America,Ohio,Springfield,XYZ Tech,4,MSI,Alpha 15,SSD,Nancy,Smith,+18548801176,underwoodkatie@example.org,Diamond Baker,Returns,27582,31801,Finance,769,2023-11-23,2023-12-21,48070,2GB,735,Online,Medium,0,301,27723,500GB
North America,California,Anaheim,Jacks Hardware,10,MSI,Modern 15,HDD,Michelle,Hancock,+12551538979,michael68@example.org,Andrew Miranda,New Sales,27749,31849,Bank Transfer,924,2022-03-07,,0,2GB,765,Offline,Low,0,641,31848,500GB
North America,Michigan,Troy,Benjis Tech,10,MSI,Alpha 15,SSD,Jared,Shaw,+18707284319,amandaleach@example.com,Casey Dunn,New Sales,4766,8559,Cash,154,2023-04-09,2023-05-06,0,4GB,701,Online,Low,0,281,7451,256GB
Africa,Kenya,Kisii,ABC Computers,3,Apple,Apple iMac,SSD,Justin,Hunt,+15990179541,kevin25@example.org,David Ellis,Second-hand Sales,15695,18115,Bank Transfer,995,2023-12-09,2024-01-03,0,8GB,624,Online,Low,0,52,17199,1TB
Africa,Tanzania,Katavi,Mini Tech,3,Acer,Chromebook Spin 311,HDD,David,Lowery,+19874285819,maryduarte@example.com,Mitchell Atkins,New Sales,27252,32062,Finance,924,2022-03-31,2022-04-08,5202,16GB,502,Online,Low,0,456,27366,500GB
Africa,Ghana,Brong-Ahafo,KyaSand Tech Gadgets,4,Samsung,Galaxy Book S,HDD,Elizabeth,Smith,+15995942211,briannacordova@example.net,Jonathan Miller,Returns,24544,27856,Finance,969,2022-03-08,,19753,4GB,438,Offline,Medium,0,32,27347,256GB
North America,Illinois,Tinley Park,ABC Computers,3,HP,Envy,SSD,Robert,Hernandez,+14890839271,dawn93@example.com,Glenda Cohen,Returns,22615,25636,Cash,835,2021-09-01,2021-09-18,0,4GB,511,Online,Medium,0,59,25259,1TB
North America,California,Santa Ana,S & A Computer Place,10,Acer,Spin 5,HDD,Joshua,Terrell,+11138251030,juannavarro@example.net,Alyssa Martinez,Second-hand Sales,21877,26655,Finance,418,2023-07-06,,33812,16GB,821,Offline,High,0,335,25027,1TB
